patient_id,sample_rate,signal_len
40079552,500,5000
40080318,500,5000
40082059,500,5000
40082204,500,5000
40082361,500,5000
40083264,500,5000
40083696,500,5000
40083788,500,5000
40084113,500,5000
40085181,500,5000
40085374,500,5000
40085850,500,5000
40086069,500,5000
40086144,500,5000
40086565,500,5000
40086679,500,5000
40086762,500,5000
40087390,500,5000
40087509,500,5000
40088081,500,5000
40088946,500,5000
40088950,500,5000
40091575,500,5000
40093957,500,5000
40094321,500,5000
40094417,500,5000
40094468,500,5000
40094517,500,5000
40096571,500,5000
40096584,500,5000
40097373,500,5000
40098629,500,5000
40098909,500,5000
40099511,500,5000
40100238,500,5000
40101183,500,5000
40101716,500,5000
40102447,500,5000
40103138,500,5000
40104684,500,5000
40104748,500,5000
40105713,500,5000
40105872,500,5000
40106171,500,5000
40108739,500,5000
40109924,500,5000
40110984,500,5000
40110989,500,5000
40112282,500,5000
40112527,500,5000
40112697,500,5000
40113775,500,5000
40114130,500,5000
40114240,500,5000
40115127,500,5000
40115480,500,5000
40116419,500,5000
40116833,500,5000
40117220,500,5000
40117383,500,5000
40117681,500,5000
40118536,500,5000
40119038,500,5000
40119295,500,5000
40119375,500,5000
40119852,500,5000
40120129,500,5000
40122129,500,5000
40122510,500,5000
40123769,500,5000
40124472,500,5000
40124727,500,5000
40126227,500,5000
40127704,500,5000
40128251,500,5000
40130007,500,5000
40131329,500,5000
40131334,500,5000
40132234,500,5000
40133290,500,5000
40133486,500,5000
40134546,500,5000
40136536,500,5000
40137815,500,5000
40138186,500,5000
40138994,500,5000
40139738,500,5000
40139966,500,5000
40140685,500,5000
40141310,500,5000
40141350,500,5000
40141463,500,5000
40141828,500,5000
40144639,500,5000
40145271,500,5000
40145953,500,5000
40146013,500,5000
40147643,500,5000
40147754,500,5000
40148747,500,5000
40148814,500,5000
40149161,500,5000
40149458,500,5000
40149703,500,5000
40150102,500,5000
40150205,500,5000
40151438,500,5000
40152069,500,5000
40152166,500,5000
40152420,500,5000
40153376,500,5000
40154093,500,5000
40155990,500,5000
40156244,500,5000
40156377,500,5000
40156942,500,5000
40157996,500,5000
40158517,500,5000
40158535,500,5000
40159045,500,5000
40159718,500,5000
40160934,500,5000
40162781,500,5000
40163075,500,5000
40165144,500,5000
40165207,500,5000
40166034,500,5000
40166491,500,5000
40168448,500,5000
40168549,500,5000
40170403,500,5000
40170948,500,5000
40171858,500,5000
40172335,500,5000
40172706,500,5000
40173213,500,5000
40173350,500,5000
40173379,500,5000
40175517,500,5000
40175940,500,5000
40176828,500,5000
40176961,500,5000
40177399,500,5000
40177496,500,5000
40177506,500,5000
40178612,500,5000
40178684,500,5000
40179903,500,5000
40180189,500,5000
40180246,500,5000
40180289,500,5000
40180837,500,5000
40181331,500,5000
40181536,500,5000
40182955,500,5000
40183109,500,5000
40183848,500,5000
40183939,500,5000
40183951,500,5000
40184290,500,5000
40184396,500,5000
40184670,500,5000
40184876,500,5000
40184920,500,5000
40184961,500,5000
40186539,500,5000
40190134,500,5000
40190875,500,5000
40190940,500,5000
40191025,500,5000
40192186,500,5000
40192958,500,5000
40192988,500,5000
40193029,500,5000
40193307,500,5000
40193847,500,5000
40195418,500,5000
40196125,500,5000
40196880,500,5000
40196930,500,5000
40198336,500,5000
40198585,500,5000
40199197,500,5000
40199755,500,5000
40200620,500,5000
40200774,500,5000
40201085,500,5000
40201926,500,5000
40202156,500,5000
40202213,500,5000
40202261,500,5000
40202623,500,5000
40202749,500,5000
40203216,500,5000
40203737,500,5000
40204496,500,5000
40205670,500,5000
40207151,500,5000
40207176,500,5000
40207336,500,5000
40207490,500,5000
40208569,500,5000
40209355,500,5000
40210270,500,5000
40211081,500,5000
40212445,500,5000
40212516,500,5000
40213444,500,5000
40213455,500,5000
40213814,500,5000
40213854,500,5000
40215125,500,5000
40215243,500,5000
40215858,500,5000
40217400,500,5000
40217518,500,5000
40218785,500,5000
40219018,500,5000
40220783,500,5000
40222916,500,5000
40222937,500,5000
40223043,500,5000
40223301,500,5000
40224108,500,5000
40224444,500,5000
40224973,500,5000
40225055,500,5000
40226011,500,5000
40226264,500,5000
40227025,500,5000
40227295,500,5000
40227429,500,5000
40229518,500,5000
40231257,500,5000
40231560,500,5000
40232055,500,5000
40233396,500,5000
40233604,500,5000
40236473,500,5000
40238382,500,5000
40239644,500,5000
40239887,500,5000
40240725,500,5000
40241137,500,5000
40241201,500,5000
40241227,500,5000
40241271,500,5000
40243386,500,5000
40245390,500,5000
40246007,500,5000
40246258,500,5000
40247208,500,5000
40247425,500,5000
40248024,500,5000
40251437,500,5000
40251532,500,5000
40252929,500,5000
40253302,500,5000
40253353,500,5000
40254514,500,5000
40255782,500,5000
40256473,500,5000
40257175,500,5000
40258373,500,5000
40259166,500,5000
40259232,500,5000
40259473,500,5000
40259984,500,5000
40260082,500,5000
40260148,500,5000
40261158,500,5000
40262428,500,5000
40262664,500,5000
40262834,500,5000
40262855,500,5000
40262921,500,5000
40262963,500,5000
40263359,500,5000
40264023,500,5000
40264823,500,5000
40264932,500,5000
40266001,500,5000
40266438,500,5000
40266892,500,5000
40268343,500,5000
40268916,500,5000
40269100,500,5000
40270078,500,5000
40270212,500,5000
40270576,500,5000
40270764,500,5000
40271488,500,5000
40272270,500,5000
40272800,500,5000
40273233,500,5000
40273444,500,5000
40273507,500,5000
40274043,500,5000
40274395,500,5000
40274478,500,5000
40274605,500,5000
40275404,500,5000
40276151,500,5000
40276665,500,5000
40277755,500,5000
40278041,500,5000
40279158,500,5000
40281718,500,5000
40282329,500,5000
40282448,500,5000
40283172,500,5000
40283714,500,5000
40283738,500,5000
40283996,500,5000
40284254,500,5000
40284513,500,5000
40284537,500,5000
40285560,500,5000
40285570,500,5000
40285753,500,5000
40287425,500,5000
40287831,500,5000
40287930,500,5000
40288161,500,5000
40289297,500,5000
40290513,500,5000
40290792,500,5000
40291152,500,5000
40291946,500,5000
40292689,500,5000
40292802,500,5000
40294030,500,5000
40294031,500,5000
40294069,500,5000
40295978,500,5000
40296177,500,5000
40297308,500,5000
40297937,500,5000
40297970,500,5000
40298440,500,5000
40298972,500,5000
40300710,500,5000
40300789,500,5000
40301359,500,5000
40303138,500,5000
40304026,500,5000
40304633,500,5000
40305912,500,5000
40306859,500,5000
40307238,500,5000
40307552,500,5000
40308210,500,5000
40308864,500,5000
40308897,500,5000
40309661,500,5000
40310277,500,5000
40310620,500,5000
40310732,500,5000
40311863,500,5000
40312093,500,5000
40312104,500,5000
40314214,500,5000
40315009,500,5000
40315527,500,5000
40315718,500,5000
40316452,500,5000
40316953,500,5000
40317879,500,5000
40318776,500,5000
40318882,500,5000
40318942,500,5000
40319213,500,5000
40320153,500,5000
40321046,500,5000
40321627,500,5000
40322424,500,5000
40322993,500,5000
40323199,500,5000
40324714,500,5000
40324849,500,5000
40325885,500,5000
40326265,500,5000
40326831,500,5000
40327408,500,5000
40328159,500,5000
40328567,500,5000
40330119,500,5000
40331009,500,5000
40331480,500,5000
40332759,500,5000
40334374,500,5000
40334632,500,5000
40334747,500,5000
40336082,500,5000
40336712,500,5000
40337097,500,5000
40337137,500,5000
40337462,500,5000
40339710,500,5000
40341044,500,5000
40341161,500,5000
40341443,500,5000
40344150,500,5000
40344193,500,5000
40344409,500,5000
40344601,500,5000
40347788,500,5000
40348708,500,5000
40348741,500,5000
40348757,500,5000
40348902,500,5000
40349938,500,5000
40350415,500,5000
40350520,500,5000
40350660,500,5000
40353442,500,5000
40354350,500,5000
40354533,500,5000
40355040,500,5000
40355087,500,5000
40355791,500,5000
40356222,500,5000
40357963,500,5000
40358182,500,5000
40358547,500,5000
40359792,500,5000
40359958,500,5000
40360516,500,5000
40360574,500,5000
40362666,500,5000
40363012,500,5000
40365298,500,5000
40365520,500,5000
40366035,500,5000
40366795,500,5000
40368525,500,5000
40369213,500,5000
40371052,500,5000
40371980,500,5000
40373086,500,5000
40375846,500,5000
40375870,500,5000
40376341,500,5000
40377937,500,5000
40380472,500,5000
40381061,500,5000
40381118,500,5000
40381836,500,5000
40381934,500,5000
40382115,500,5000
40383388,500,5000
40383841,500,5000
40384437,500,5000
40385362,500,5000
40386070,500,5000
40386355,500,5000
40387258,500,5000
40387925,500,5000
40388547,500,5000
40389148,500,5000
40389372,500,5000
40390760,500,5000
40392137,500,5000
40392472,500,5000
40392940,500,5000
40392944,500,5000
40393106,500,5000
40393562,500,5000
40394559,500,5000
40394872,500,5000
40395190,500,5000
40395231,500,5000
40395338,500,5000
40395381,500,5000
40396599,500,5000
40396658,500,5000
40397010,500,5000
40397140,500,5000
40397141,500,5000
40397826,500,5000
40398935,500,5000
40399512,500,5000
40399816,500,5000
40400025,500,5000
40400138,500,5000
40400538,500,5000
40401605,500,5000
40401769,500,5000
40402423,500,5000
40404122,500,5000
40404433,500,5000
40405488,500,5000
40407064,500,5000
40408932,500,5000
40409397,500,5000
40409771,500,5000
40410625,500,5000
40411962,500,5000
40411973,500,5000
40413091,500,5000
40413313,500,5000
40413476,500,5000
40414427,500,5000
40414565,500,5000
40415426,500,5000
40416621,500,5000
40417165,500,5000
40417594,500,5000
40417723,500,5000
40418191,500,5000
40418415,500,5000
40418937,500,5000
40419625,500,5000
40419824,500,5000
40420972,500,5000
40421776,500,5000
40423179,500,5000
40423221,500,5000
40423483,500,5000
40423493,500,5000
40423504,500,5000
40424671,500,5000
40425826,500,5000
40426983,500,5000
40428123,500,5000
40428766,500,5000
40429274,500,5000
40429402,500,5000
40429903,500,5000
40430027,500,5000
40430658,500,5000
40431843,500,5000
40431869,500,5000
40432105,500,5000
40432946,500,5000
40435159,500,5000
40437755,500,5000
40438377,500,5000
40439319,500,5000
40439631,500,5000
40439761,500,5000
40440663,500,5000
40441298,500,5000
40441351,500,5000
40442195,500,5000
40444343,500,5000
40444818,500,5000
40445105,500,5000
40446967,500,5000
40447103,500,5000
40447631,500,5000
40447635,500,5000
40447751,500,5000
40448741,500,5000
40449621,500,5000
40450113,500,5000
40450536,500,5000
40450735,500,5000
40450846,500,5000
40451053,500,5000
40452100,500,5000
40452130,500,5000
40453235,500,5000
40454003,500,5000
40455695,500,5000
40456203,500,5000
40456415,500,5000
40457773,500,5000
40457838,500,5000
40458333,500,5000
40458420,500,5000
40460336,500,5000
40460755,500,5000
40461220,500,5000
40462584,500,5000
40463125,500,5000
40463492,500,5000
40463496,500,5000
40463509,500,5000
40463734,500,5000
40466153,500,5000
40466168,500,5000
40467197,500,5000
40468298,500,5000
40471103,500,5000
40471754,500,5000
40472552,500,5000
40473394,500,5000
40474004,500,5000
40474051,500,5000
40474216,500,5000
40474280,500,5000
40474304,500,5000
40475284,500,5000
40475387,500,5000
40475566,500,5000
40476795,500,5000
40476799,500,5000
40477562,500,5000
40477720,500,5000
40479274,500,5000
40479416,500,5000
40481462,500,5000
40482068,500,5000
40482581,500,5000
40483322,500,5000
40483399,500,5000
40484206,500,5000
40484677,500,5000
40484886,500,5000
40485127,500,5000
40485914,500,5000
40486145,500,5000
40487227,500,5000
40487289,500,5000
40487615,500,5000
40487848,500,5000
40488132,500,5000
40488413,500,5000
40488701,500,5000
40488897,500,5000
40489015,500,5000
40489578,500,5000
40490014,500,5000
40491253,500,5000
40491527,500,5000
40493554,500,5000
40493721,500,5000
40494574,500,5000
40496912,500,5000
40497360,500,5000
40497635,500,5000
40497658,500,5000
40497843,500,5000
40499172,500,5000
40500652,500,5000
40501093,500,5000
40501295,500,5000
40501442,500,5000
40501990,500,5000
40503083,500,5000
40503347,500,5000
40504194,500,5000
40504374,500,5000
40504952,500,5000
40505964,500,5000
40506684,500,5000
40507380,500,5000
40507603,500,5000
40507625,500,5000
40508078,500,5000
40508370,500,5000
40508507,500,5000
40510245,500,5000
40510421,500,5000
40510978,500,5000
40512587,500,5000
40513580,500,5000
40514847,500,5000
40515123,500,5000
40515170,500,5000
40515297,500,5000
40516071,500,5000
40516721,500,5000
40517085,500,5000
40517912,500,5000
40518020,500,5000
40518229,500,5000
40520314,500,5000
40520885,500,5000
40521000,500,5000
40522216,500,5000
40523488,500,5000
40523847,500,5000
40523888,500,5000
40524805,500,5000
40524847,500,5000
40525268,500,5000
40525498,500,5000
40525768,500,5000
40528297,500,5000
40528652,500,5000
40529538,500,5000
40530698,500,5000
40531357,500,5000
40531840,500,5000
40532735,500,5000
40532842,500,5000
40532866,500,5000
40537194,500,5000
40537577,500,5000
40538357,500,5000
40538505,500,5000
40539063,500,5000
40539088,500,5000
40541428,500,5000
40541901,500,5000
40542367,500,5000
40543665,500,5000
40546098,500,5000
40546244,500,5000
40546397,500,5000
40546871,500,5000
40547460,500,5000
40548384,500,5000
40548401,500,5000
40548525,500,5000
40548691,500,5000
40549020,500,5000
40550746,500,5000
40550848,500,5000
40552052,500,5000
40552229,500,5000
40552648,500,5000
40552918,500,5000
40553088,500,5000
40554264,500,5000
40554271,500,5000
40554432,500,5000
40554812,500,5000
40555336,500,5000
40558403,500,5000
40558679,500,5000
40558690,500,5000
40559131,500,5000
40559347,500,5000
40559979,500,5000
40561204,500,5000
40562203,500,5000
40564494,500,5000
40564828,500,5000
40566023,500,5000
40566089,500,5000
40566583,500,5000
40568313,500,5000
40568704,500,5000
40568705,500,5000
40568774,500,5000
40568974,500,5000
40569478,500,5000
40569677,500,5000
40569678,500,5000
40571089,500,5000
40571495,500,5000
40572001,500,5000
40573065,500,5000
40573135,500,5000
40573401,500,5000
40574646,500,5000
40574861,500,5000
40575031,500,5000
40576064,500,5000
40576808,500,5000
40577029,500,5000
40577141,500,5000
40578280,500,5000
40578853,500,5000
40580632,500,5000
40581569,500,5000
40581852,500,5000
40581982,500,5000
40582638,500,5000
40582913,500,5000
40583883,500,5000
40584736,500,5000
40584984,500,5000
40585676,500,5000
40585947,500,5000
40586812,500,5000
40586916,500,5000
40588188,500,5000
40588408,500,5000
40588409,500,5000
40590770,500,5000
40591788,500,5000
40592412,500,5000
40592694,500,5000
40595501,500,5000
40595703,500,5000
40595794,500,5000
40596066,500,5000
40596077,500,5000
40596444,500,5000
40597674,500,5000
40599063,500,5000
40599082,500,5000
40599322,500,5000
40599503,500,5000
40600060,500,5000
40600501,500,5000
40600702,500,5000
40600771,500,5000
40601114,500,5000
40601820,500,5000
40605130,500,5000
40606563,500,5000
40606658,500,5000
40608336,500,5000
40609068,500,5000
40609895,500,5000
40610304,500,5000
40610481,500,5000
40612362,500,5000
40613011,500,5000
40614001,500,5000
40614386,500,5000
40617333,500,5000
40618362,500,5000
40618540,500,5000
40619230,500,5000
40620360,500,5000
40620695,500,5000
40621315,500,5000
40621456,500,5000
40622804,500,5000
40623076,500,5000
40623575,500,5000
40624173,500,5000
40624264,500,5000
40625107,500,5000
40626549,500,5000
40627097,500,5000
40627117,500,5000
40628175,500,5000
40628188,500,5000
40628521,500,5000
40629143,500,5000
40629885,500,5000
40630101,500,5000
40630500,500,5000
40630573,500,5000
40630846,500,5000
40631316,500,5000
40633101,500,5000
40634243,500,5000
40634706,500,5000
40634910,500,5000
40637534,500,5000
40638128,500,5000
40638234,500,5000
40638420,500,5000
40640307,500,5000
40641623,500,5000
40641798,500,5000
40642245,500,5000
40642746,500,5000
40642906,500,5000
40643144,500,5000
40643328,500,5000
40643779,500,5000
40643911,500,5000
40644111,500,5000
40644463,500,5000
40644924,500,5000
40645584,500,5000
40647147,500,5000
40647494,500,5000
40648262,500,5000
40648267,500,5000
40648922,500,5000
40649255,500,5000
40649839,500,5000
40650266,500,5000
40650347,500,5000
40651421,500,5000
40652166,500,5000
40653037,500,5000
40654056,500,5000
40654527,500,5000
40655995,500,5000
40657318,500,5000
40658752,500,5000
40658798,500,5000
40659245,500,5000
40659476,500,5000
40659868,500,5000
40660944,500,5000
40661070,500,5000
40661831,500,5000
40661852,500,5000
40662278,500,5000
40663785,500,5000
40664227,500,5000
40664328,500,5000
40664898,500,5000
40666140,500,5000
40666933,500,5000
40666962,500,5000
40668766,500,5000
40669230,500,5000
40669235,500,5000
40669557,500,5000
40669852,500,5000
40670891,500,5000
40671315,500,5000
40671450,500,5000
40671895,500,5000
40672402,500,5000
40673124,500,5000
40674363,500,5000
40675211,500,5000
40675667,500,5000
40676930,500,5000
40677308,500,5000
40679227,500,5000
40679808,500,5000
40680524,500,5000
40680707,500,5000
40681437,500,5000
40682510,500,5000
40682639,500,5000
40682743,500,5000
40682794,500,5000
40683147,500,5000
40683238,500,5000
40683380,500,5000
40684043,500,5000
40684924,500,5000
40685074,500,5000
40688687,500,5000
40689089,500,5000
40691213,500,5000
40691281,500,5000
40692919,500,5000
40692983,500,5000
40693303,500,5000
40693789,500,5000
40695484,500,5000
40695720,500,5000
40695865,500,5000
40695891,500,5000
40695970,500,5000
40696053,500,5000
40696907,500,5000
40697052,500,5000
40697907,500,5000
40698019,500,5000
40698988,500,5000
40699708,500,5000
40700062,500,5000
40700287,500,5000
40700939,500,5000
40701177,500,5000
40701311,500,5000
40701668,500,5000
40702906,500,5000
40703904,500,5000
40706088,500,5000
40707292,500,5000
40707335,500,5000
40707399,500,5000
40708232,500,5000
40708503,500,5000
40708920,500,5000
40709116,500,5000
40709221,500,5000
40710232,500,5000
40711198,500,5000
40711235,500,5000
40711776,500,5000
40712414,500,5000
40713476,500,5000
40713919,500,5000
40716067,500,5000
40717026,500,5000
40717638,500,5000
40718130,500,5000
40718770,500,5000
40719672,500,5000
40720064,500,5000
40720824,500,5000
40721733,500,5000
40721812,500,5000
40721996,500,5000
40722768,500,5000
40722824,500,5000
40723893,500,5000
40723900,500,5000
40725568,500,5000
40725916,500,5000
40726028,500,5000
40728050,500,5000
40728171,500,5000
40730108,500,5000
40730333,500,5000
40730745,500,5000
40731097,500,5000
40731166,500,5000
40731209,500,5000
40732801,500,5000
40733477,500,5000
40734991,500,5000
40735387,500,5000
40735970,500,5000
40737820,500,5000
40738219,500,5000
40738818,500,5000
40739806,500,5000
40742112,500,5000
40742375,500,5000
40745139,500,5000
40745433,500,5000
40745617,500,5000
40746969,500,5000
40747074,500,5000
40747293,500,5000
40747565,500,5000
40747897,500,5000
40748119,500,5000
40748555,500,5000
40748635,500,5000
40749784,500,5000
40750036,500,5000
40750916,500,5000
40751467,500,5000
40752396,500,5000
40752522,500,5000
40752586,500,5000
40753282,500,5000
40754197,500,5000
40754232,500,5000
40754524,500,5000
40754802,500,5000
40755226,500,5000
40756061,500,5000
40756109,500,5000
40757560,500,5000
40757592,500,5000
40759359,500,5000
40759818,500,5000
40760166,500,5000
40760377,500,5000
40760429,500,5000
40760876,500,5000
40761133,500,5000
40763314,500,5000
40763940,500,5000
40764282,500,5000
40766309,500,5000
40766548,500,5000
40768530,500,5000
40768533,500,5000
40768738,500,5000
40769110,500,5000
40769453,500,5000
40771165,500,5000
40771518,500,5000
40771671,500,5000
40771990,500,5000
40772878,500,5000
40772924,500,5000
40773271,500,5000
40773318,500,5000
40775669,500,5000
40775908,500,5000
40776131,500,5000
40776630,500,5000
40776722,500,5000
40776951,500,5000
40778825,500,5000
40778832,500,5000
40780341,500,5000
40780515,500,5000
40780720,500,5000
40781046,500,5000
40781072,500,5000
40781388,500,5000
40781909,500,5000
40782053,500,5000
40782057,500,5000
40783375,500,5000
40784170,500,5000
40784405,500,5000
40785995,500,5000
40786094,500,5000
40786112,500,5000
40786379,500,5000
40786653,500,5000
40786864,500,5000
40788290,500,5000
40788480,500,5000
40789478,500,5000
40789926,500,5000
40790204,500,5000
40790346,500,5000
40792775,500,5000
40793192,500,5000
40793415,500,5000
40793448,500,5000
40793643,500,5000
40793853,500,5000
40794099,500,5000
40794789,500,5000
40796637,500,5000
40796662,500,5000
40797848,500,5000
40798235,500,5000
40799121,500,5000
40799147,500,5000
40799334,500,5000
40799419,500,5000
40799479,500,5000
40800308,500,5000
40800546,500,5000
40801073,500,5000
40801477,500,5000
40801874,500,5000
40803168,500,5000
40803256,500,5000
40803709,500,5000
40804305,500,5000
40804358,500,5000
40805067,500,5000
40805493,500,5000
40805667,500,5000
40806507,500,5000
40806531,500,5000
40806990,500,5000
40807260,500,5000
40807410,500,5000
40808370,500,5000
40810566,500,5000
40811866,500,5000
40812315,500,5000
40814131,500,5000
40814627,500,5000
40815167,500,5000
40816050,500,5000
40816112,500,5000
40816316,500,5000
40816952,500,5000
40817215,500,5000
40817488,500,5000
40817646,500,5000
40821333,500,5000
40821773,500,5000
40821863,500,5000
40822198,500,5000
40823224,500,5000
40823228,500,5000
40823615,500,5000
40824224,500,5000
40824361,500,5000
40825008,500,5000
40825021,500,5000
40825069,500,5000
40825977,500,5000
40826129,500,5000
40826610,500,5000
40826615,500,5000
40826689,500,5000
40826743,500,5000
40827503,500,5000
40828055,500,5000
40829982,500,5000
40830486,500,5000
40831357,500,5000
40831660,500,5000
40832680,500,5000
40833353,500,5000
40835139,500,5000
40835227,500,5000
40835383,500,5000
40835405,500,5000
40835411,500,5000
40835539,500,5000
40835578,500,5000
40838209,500,5000
40838531,500,5000
40838697,500,5000
40838865,500,5000
40839182,500,5000
40839252,500,5000
40839467,500,5000
40839656,500,5000
40840625,500,5000
40840706,500,5000
40841477,500,5000
40842680,500,5000
40843757,500,5000
40844900,500,5000
40845569,500,5000
40845799,500,5000
40848081,500,5000
40848665,500,5000
40850511,500,5000
40850756,500,5000
40851175,500,5000
40851748,500,5000
40851925,500,5000
40852505,500,5000
40852718,500,5000
40852765,500,5000
40853188,500,5000
40853749,500,5000
40854680,500,5000
40854953,500,5000
40856387,500,5000
40856458,500,5000
40856967,500,5000
40857161,500,5000
40858122,500,5000
40858182,500,5000
40858348,500,5000
40858381,500,5000
40858393,500,5000
40859240,500,5000
40860330,500,5000
40860779,500,5000
40860884,500,5000
40861181,500,5000
40861452,500,5000
40861987,500,5000
40863159,500,5000
40863936,500,5000
40866201,500,5000
40866228,500,5000
40866782,500,5000
40866954,500,5000
40867213,500,5000
40867925,500,5000
40867992,500,5000
40868883,500,5000
40868937,500,5000
40869239,500,5000
40869745,500,5000
40871066,500,5000
40871385,500,5000
40871782,500,5000
40872297,500,5000
40872831,500,5000
40872863,500,5000
40873114,500,5000
40874649,500,5000
40874694,500,5000
40875015,500,5000
40875355,500,5000
40875697,500,5000
40875726,500,5000
40875758,500,5000
40875773,500,5000
40877497,500,5000
40878193,500,5000
40878781,500,5000
40878938,500,5000
40879151,500,5000
40879353,500,5000
40879507,500,5000
40879770,500,5000
40880906,500,5000
40881333,500,5000
40881513,500,5000
40881582,500,5000
40881623,500,5000
40881953,500,5000
40882013,500,5000
40882278,500,5000
40882634,500,5000
40882723,500,5000
40883470,500,5000
40883703,500,5000
40883709,500,5000
40883934,500,5000
40884345,500,5000
40885772,500,5000
40886012,500,5000
40886673,500,5000
40887475,500,5000
40888438,500,5000
40888934,500,5000
40889123,500,5000
40890779,500,5000
40890976,500,5000
40890998,500,5000
40893486,500,5000
40893535,500,5000
40893683,500,5000
40894667,500,5000
40894980,500,5000
40895565,500,5000
40896252,500,5000
40896335,500,5000
40897314,500,5000
40897653,500,5000
40898080,500,5000
40898867,500,5000
40899372,500,5000
40900857,500,5000
40902240,500,5000
40902404,500,5000
40902591,500,5000
40903244,500,5000
40904316,500,5000
40904653,500,5000
40905475,500,5000
40905800,500,5000
40905926,500,5000
40905976,500,5000
40908238,500,5000
40908802,500,5000
40909412,500,5000
40909430,500,5000
40909512,500,5000
40909524,500,5000
40911154,500,5000
40911526,500,5000
40913548,500,5000
40914822,500,5000
40915904,500,5000
40916248,500,5000
40916373,500,5000
40916470,500,5000
40916966,500,5000
40918090,500,5000
40919597,500,5000
40919613,500,5000
40920856,500,5000
40922056,500,5000
40922076,500,5000
40922717,500,5000
40923552,500,5000
40923908,500,5000
40923923,500,5000
40925139,500,5000
40925795,500,5000
40926363,500,5000
40927088,500,5000
40928626,500,5000
40929408,500,5000
40929825,500,5000
40929917,500,5000
40930696,500,5000
40930762,500,5000
40931126,500,5000
40931277,500,5000
40933338,500,5000
40933699,500,5000
40934193,500,5000
40937371,500,5000
40937420,500,5000
40938838,500,5000
40939298,500,5000
40940375,500,5000
40940599,500,5000
40941295,500,5000
40941511,500,5000
40941734,500,5000
40942096,500,5000
40942209,500,5000
40942516,500,5000
40942557,500,5000
40942624,500,5000
40943159,500,5000
40943735,500,5000
40944559,500,5000
40944860,500,5000
40945353,500,5000
40946518,500,5000
40946982,500,5000
40947028,500,5000
40947149,500,5000
40947457,500,5000
40947944,500,5000
40948675,500,5000
40948778,500,5000
40948830,500,5000
40949859,500,5000
40951098,500,5000
40951958,500,5000
40952211,500,5000
40952440,500,5000
40953885,500,5000
40954202,500,5000
40954230,500,5000
40954757,500,5000
40955209,500,5000
40955750,500,5000
40956294,500,5000
40956410,500,5000
40956613,500,5000
40957120,500,5000
40958052,500,5000
40958235,500,5000
40959223,500,5000
40959647,500,5000
40959750,500,5000
40959870,500,5000
40961573,500,5000
40962072,500,5000
40963089,500,5000
40963205,500,5000
40963590,500,5000
40963984,500,5000
40966956,500,5000
40967010,500,5000
40968473,500,5000
40970839,500,5000
40971364,500,5000
40972537,500,5000
40973159,500,5000
40973476,500,5000
40974927,500,5000
40975803,500,5000
40976805,500,5000
40977109,500,5000
40977492,500,5000
40978362,500,5000
40978627,500,5000
40978647,500,5000
40978739,500,5000
40979601,500,5000
40979845,500,5000
40979872,500,5000
40979975,500,5000
40980133,500,5000
40980303,500,5000
40980874,500,5000
40980914,500,5000
40982384,500,5000
40984027,500,5000
40984187,500,5000
40985666,500,5000
40987737,500,5000
40988615,500,5000
40990211,500,5000
40990234,500,5000
40995051,500,5000
40995153,500,5000
